%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.attitude,field.utm_easting,field.utm_northing,field.quality
1582906559249610845,4452,1582906559248914957,,42.33904679,-71.0842945783,4.087,328299.44325,4689525.2283,4
1582906559434287674,4453,1582906559433698892,,42.3390467717,-71.0842946083,4.087,328299.440728,4689525.22632,4
1582906559640672149,4454,1582906559639712095,,42.33904676,-71.084294645,4.09,328299.437676,4689525.2251,4
1582906559835671111,4455,1582906559835053920,,42.3390466517,-71.0842947967,4.077,328299.424886,4689525.21338,4
1582906560045125475,4456,1582906560044538974,,42.339046555,-71.0842954383,4.086,328299.371762,4689525.20394,4
1582906560238512146,4457,1582906560237931966,,42.33904644,-71.0842961117,4.093,328299.315978,4689525.19253,4
1582906560432439174,4458,1582906560431904077,,42.33904618,-71.08429675,4.083,328299.262684,4689525.16495,4
1582906560635549100,4459,1582906560635178089,,42.3390455033,-71.08429765,4.071,328299.186698,4689525.09163,4
1582906560838039305,4460,1582906560837317943,,42.339044505,-71.0842986633,4.096,328299.100501,4689524.98282,4
1582906561032913775,4461,1582906561032274007,,42.3390435683,-71.0842996633,4.103,328299.01557,4689524.88083,4
1582906561250756452,4462,1582906561249914884,,42.3390427267,-71.0843009333,4.11,328298.908654,4689524.78993,4
1582906561443919005,4463,1582906561443386077,,42.339041705,-71.0843024883,4.091,328298.77777,4689524.67962,4
1582906561637235768,4464,1582906561636342048,,42.3390403817,-71.08430394,4.11,328298.654577,4689524.53561,4
1582906561832029412,4465,1582906561831772089,,42.3390390767,-71.0843052867,4.137,328298.540084,4689524.39342,4
1582906562038516341,4466,1582906562038106918,,42.3390376983,-71.0843068717,4.128,328298.405758,4689524.24356,4
1582906562235460186,4467,1582906562234908103,,42.3390361683,-71.0843084133,4.129,328298.274588,4689524.07678,4
1582906562441562680,4468,1582906562441155910,,42.3390348783,-71.0843100867,4.133,328298.133225,4689523.93692,4
1582906562636058581,4469,1582906562635381937,,42.339033485,-71.0843121,4.104,328297.96357,4689523.78626,4
1582906562845657731,4470,1582906562844547033,,42.339031945,-71.0843140617,4.174,328297.797773,4689523.61922,4
1582906563039221514,4471,1582906563038389921,,42.3390305467,-71.084315695,4.181,328297.65941,4689523.46724,4
1582906563245824093,4472,1582906563245146036,,42.339029085,-71.0843177883,4.176,328297.482979,4689523.30916,4
1582906563440308652,4473,1582906563439778089,,42.33902768,-71.084319825,4.228,328297.311371,4689523.15726,4
1582906563635680564,4474,1582906563635019063,,42.3390261267,-71.0843217617,4.224,328297.147597,4689522.98869,4
1582906563838530681,4475,1582906563837855100,,42.339024515,-71.0843240417,4.219,328296.95538,4689522.81433,4
1582906564044134437,4476,1582906564043760061,,42.33902303,-71.0843260017,4.256,328296.78987,4689522.65339,4
1582906564239581248,4477,1582906564239047050,,42.3390216383,-71.0843279117,4.239,328296.628733,4689522.50271,4
1582906564434870267,4478,1582906564434382915,,42.3390199483,-71.08432977,4.245,328296.47104,4689522.3188,4
1582906564638301621,4479,1582906564637461900,,42.3390183667,-71.0843315617,4.263,328296.319134,4689522.14679,4
1582906564835572313,4480,1582906564835067033,,42.3390166933,-71.0843336067,4.237,328296.146109,4689521.96511,4
1582906565041728380,4481,1582906565041347980,,42.339015015,-71.0843355267,4.24,328295.983368,4689521.78262,4
1582906565247612655,4482,1582906565246759891,,42.3390134983,-71.084337335,4.246,328295.830266,4689521.61785,4
1582906565443019761,4483,1582906565442280054,,42.339011885,-71.08433922,4.223,328295.670585,4689521.44251,4
1582906565639225225,4484,1582906565638592958,,42.3390103667,-71.0843410333,4.243,328295.517067,4689521.27757,4
1582906565831712236,4485,1582906565831140995,,42.339008885,-71.08434313,4.219,328295.340307,4689521.11728,4
1582906566034205388,4486,1582906566033719062,,42.33900744,-71.084345335,4.2,328295.154722,4689520.96128,4
1582906566256092995,4487,1582906566255163908,,42.3390059567,-71.0843475417,4.304,328294.968895,4689520.80102,4
1582906566440750314,4488,1582906566440104961,,42.3390043967,-71.0843495183,4.325,328294.801808,4689520.63179,4
1582906566643638080,4489,1582906566643263101,,42.3390028933,-71.084351435,4.328,328294.639817,4689520.46872,4
1582906566842770288,4490,1582906566841595888,,42.3390014383,-71.0843531533,4.371,328294.494298,4689520.31063,4
1582906567043907135,4491,1582906567043212890,,42.339000005,-71.0843550817,4.35,328294.331537,4689520.15536,4
1582906567247992098,4492,1582906567247328042,,42.3389985067,-71.0843571417,4.333,328294.157752,4689519.99314,4
1582906567442475081,4493,1582906567441765069,,42.3389969833,-71.0843589867,4.353,328294.001611,4689519.82771,4
1582906567637994177,4494,1582906567637531995,,42.3389955,-71.0843608017,4.309,328293.848051,4689519.66666,4
1582906567846164935,4495,1582906567844640970,,42.3389936267,-71.0843628517,4.318,328293.674069,4689519.46278,4
1582906568043668263,4496,1582906568043241977,,42.338992095,-71.084364805,4.336,328293.508981,4689519.29665,4
1582906568234958022,4497,1582906568234375000,,42.338990485,-71.084366855,4.308,328293.335716,4689519.12201,4
1582906568437398810,4498,1582906568436996936,,42.3389888383,-71.08436906,4.328,328293.149582,4689518.94361,4
1582906568640106882,4499,1582906568639287948,,42.3389873167,-71.0843709283,4.34,328292.991524,4689518.77842,4
1582906568843263536,4500,1582906568843055963,,42.338985645,-71.0843727517,4.299,328292.836764,4689518.59647,4
1582906569042151095,4501,1582906569041888952,,42.338983835,-71.0843746883,4.32,328292.672291,4689518.3994,4
1582906569247684673,4502,1582906569247052907,,42.3389822267,-71.0843763867,4.314,328292.528002,4689518.22423,4
1582906569441557606,4503,1582906569440886974,,42.3389805733,-71.0843782883,4.284,328292.366839,4689518.04448,4
1582906569644087845,4504,1582906569643717050,,42.33897896,-71.084380155,4.31,328292.208668,4689517.86911,4
1582906569838453512,4505,1582906569838172912,,42.338977335,-71.08438206,4.293,328292.047307,4689517.69251,4
1582906570047597493,4506,1582906570047178983,,42.3389755067,-71.084383875,4.288,328291.892808,4689517.49315,4
1582906570241215299,4507,1582906570240042924,,42.338973945,-71.0843857567,4.319,328291.733542,4689517.32354,4
1582906570442107635,4508,1582906570441643953,,42.3389723983,-71.0843877933,4.3,328291.561548,4689517.15591,4
1582906570643065603,4509,1582906570642738103,,42.33897057,-71.0843898667,4.296,328291.385766,4689516.95707,4
1582906570836750253,4510,1582906570836518049,,42.338969015,-71.0843920783,4.312,328291.199332,4689516.78887,4
1582906571045359613,4511,1582906571044989109,,42.3389673467,-71.0843939833,4.281,328291.037854,4689516.60746,4
1582906571246425188,4512,1582906571246149063,,42.3389655583,-71.0843961517,4.301,328290.854355,4689516.41326,4
1582906571442630048,4513,1582906571442056894,,42.3389639267,-71.0843982267,4.307,328290.678971,4689516.23626,4
1582906571636268457,4514,1582906571635607957,,42.3389622417,-71.0844001483,4.279,328290.516074,4689516.05304,4
1582906571845045944,4515,1582906571844345092,,42.338960495,-71.084402285,4.305,328290.335297,4689515.8634,4
1582906572051747023,4516,1582906572051037073,,42.3389588633,-71.0844043267,4.284,328290.16266,4689515.68634,4
1582906572246745575,4517,1582906572245992898,,42.3389568583,-71.0844063517,4.27,328289.990379,4689515.46779,4
1582906572447541153,4518,1582906572447316884,,42.3389552483,-71.0844083217,4.295,328289.823704,4689515.29299,4
1582906572650999780,4519,1582906572649997949,,42.338953725,-71.0844103467,4.292,328289.652735,4689515.12792,4
1582906572847511766,4520,1582906572847125053,,42.338951995,-71.0844125233,4.295,328289.468708,4689514.94021,4
